0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000002;00:00:22;0000022143;  120,00;         0
0000000002;00:00:22;0000022143;  121,00;         0
0000000002;00:00:22;0000022143;  122,00;         0
0000000002;00:00:22;0000022143;  123,00;         0
0000000002;00:00:22;0000022143;  124,00;         0
0000000002;00:00:22;0000022143;  125,00;         0
0000000002;00:00:22;0000022143;  126,00;         0
0000000002;00:00:22;0000022143;  127,00;        20
0000000002;00:00:22;0000022143;  128,00;         0
0000000002;00:00:22;0000022143;  129,00;         0
0000000002;00:00:22;0000022143;  130,00;         0
0000000002;00:00:22;0000022143;  131,00;         0
0000000002;00:00:22;0000022143;  132,00;         0
0000000002;00:00:22;0000022143;  133,00;         0
0000000002;00:00:22;0000022143;  134,00;         0
0000000002;00:00:22;0000022143;  135,00;         0
0000000002;00:00:22;0000022143;  136,00;         0
0000000002;00:00:22;0000022143;  137,00;         0
0000000002;00:00:22;0000022143;  138,00;         0
0000000002;00:00:22;0000022143;  139,00;         0
0000000002;00:00:22;0000022143;  140,00;         0
0000000002;00:00:22;0000022143;  141,00;         0
0000000002;00:00:22;0000022143;  142,00;         0
0000000002;00:00:22;0000022143;  143,00;         0
0000000002;00:00:22;0000022143;  144,00;         0
0000000002;00:00:22;0000022143;  145,00;         0
0000000002;00:00:22;0000022143;  146,00;         0
0000000002;00:00:22;0000022143;  147,00;         0
0000000002;00:00:22;0000022143;  148,00;         0
